Tweet,Polarity,Subjectivity
"RT @manukumarjain: I think things look a lot more beautiful &amp; vibrant during the night. 😍

Insanely awesome night camera of #RedmiNote7Pro!…",0.63,0.71
"RT @XiaomiIndia: Sending a message to the stars. 

#ShotOnNote7Pro
#RedmiNote7Pro
#ShotOnRedmi https://t.co/XH3UVMsMbB",0.00,0.00
"RT @XiaomiIndia: Sail above the sea.

#ShotOnNote7Pro 
#ShotOnRedmi #RedmiNote7Pro https://t.co/qrNfKC4Rit",0.00,0.10
RT @iamyogeshmathur: #PhotoOfTheDay #Photography #Redmi #RedmiNote7Pro #Xiaomi https://t.co/2P5N9B0LfO,0.00,0.00
#PhotoOfTheDay #Photography #Redmi #RedmiNote7Pro #Xiaomi https://t.co/2P5N9B0LfO,0.00,0.00
"RT @beebomco: Which do you think is better under ₹17,000?

RT for Redmi Note 7 Pro
Like for Zenfone Max Pro M2

#RedmiNote7Pro #RedmiNote7…",0.50,0.50
RT @RedmiIndia: Wondering which phone to buy? The #48MPCameraBeast is your answer. Get the Redmi Note 7 Pro at 12 noon from https://t.co/cw…,0.00,0.00
"RT @RedmiIndia: Just look and unlock. Experience AI Face Unlock on the #RedmiNote7Pro. #48MPCameraBeast
Know more: https://t.co/PwjqBqvuwN…",0.50,0.50
"RT @bsn50005515: I hope it is useful to all techie girls out there :) 
Please SUBSCRIBE to my channel for more updates :) 
#Xiaomi #RedmiNo…",0.45,0.62
"I hope it is useful to all techie girls out there :) 
Please SUBSCRIBE to my channel for more updates :) 
#Xiaomi… https://t.co/FVHwCQ7UKq",0.45,0.62
@RedmiIndia  #mobilephotography #RedmiNote7Pro #redmi #Flowers https://t.co/o4PO3XBMhx,0.00,0.00
#RedmiNote7Pro I think if I had other PRO😜 phone this pic wouldn't be so attractive https://t.co/uf2l5F2thA,0.34,0.69
"RT @RedmiIndia: Just look and unlock. Experience AI Face Unlock on the #RedmiNote7Pro. #48MPCameraBeast
Know more: https://t.co/PwjqBqvuwN…",0.50,0.50
"Es más, solo con la llegada del #RedmiNote7Pro me puedes escribir 😏",0.00,0.00
"Querido @Xiaomi_Co cuando traigas el #RedmiNote7Pro a Colombia🇨🇴, y arregles el “asuntito” con las notificaciones… me llamas 😉",0.00,0.00
